Week,Rails,React
2014-02-02,39,3
2014-02-09,39,3
2014-02-16,40,3
2014-02-23,39,4
2014-03-02,38,5
2014-03-09,38,3
2014-03-16,39,4
2014-03-23,39,3
2014-03-30,39,3
2014-04-06,40,2
2014-04-13,37,3
2014-04-20,39,3
2014-04-27,39,4
2014-05-04,40,4
2014-05-11,41,5
2014-05-18,38,4
2014-05-25,35,4
2014-06-01,38,4
2014-06-08,39,3
2014-06-15,39,4
2014-06-22,41,4
2014-06-29,36,5
2014-07-06,38,4
2014-07-13,38,4
2014-07-20,41,4
2014-07-27,39,5
2014-08-03,46,5
2014-08-10,38,5
2014-08-17,41,4
2014-08-24,40,5
2014-08-31,32,5
2014-09-07,36,6
2014-09-14,34,7
2014-09-21,36,6
2014-09-28,37,7
2014-10-05,35,7
2014-10-12,34,6
2014-10-19,36,7
2014-10-26,38,7
2014-11-02,35,7
2014-11-09,35,8
2014-11-16,38,7
2014-11-23,30,7
2014-11-30,34,8
2014-12-07,35,7
2014-12-14,34,9
2014-12-21,26,7
2014-12-28,26,6
2015-01-04,34,9
2015-01-11,33,7
2015-01-18,34,9
2015-01-25,35,14
2015-02-01,35,14
2015-02-08,39,14
2015-02-15,38,13
2015-02-22,36,12
2015-03-01,34,13
2015-03-08,37,12
2015-03-15,37,13
2015-03-22,39,15
2015-03-29,37,14
2015-04-05,36,13
2015-04-12,36,13
2015-04-19,39,15
2015-04-26,36,13
2015-05-03,36,15
2015-05-10,34,15
2015-05-17,38,13
2015-05-24,33,15
2015-05-31,36,15
2015-06-07,37,16
2015-06-14,36,16
2015-06-21,36,17
2015-06-28,37,16
2015-07-05,37,19
2015-07-12,40,19
2015-07-19,38,17
2015-07-26,40,18
2015-08-02,39,19
2015-08-09,37,21
2015-08-16,36,21
2015-08-23,38,20
2015-08-30,35,19
2015-09-06,32,18
2015-09-13,35,21
2015-09-20,35,21
2015-09-27,34,20
2015-10-04,34,22
2015-10-11,34,20
2015-10-18,34,22
2015-10-25,35,20
2015-11-01,33,22
2015-11-08,32,21
2015-11-15,33,22
2015-11-22,25,19
2015-11-29,31,22
2015-12-06,31,22
2015-12-13,31,23
2015-12-20,25,20
2015-12-27,23,16
2016-01-03,32,24
2016-01-10,35,22
2016-01-17,36,26
2016-01-24,38,26
2016-01-31,36,31
2016-02-07,35,24
2016-02-14,33,25
2016-02-21,36,36
2016-02-28,35,32
2016-03-06,36,29
2016-03-13,36,31
2016-03-20,37,33
2016-03-27,37,33
2016-04-03,33,30
2016-04-10,36,32
2016-04-17,35,31
2016-04-24,35,31
2016-05-01,35,31
2016-05-08,36,32
2016-05-15,35,32
2016-05-22,34,33
2016-05-29,31,30
2016-06-05,35,33
2016-06-12,34,34
2016-06-19,34,32
2016-06-26,35,35
2016-07-03,32,30
2016-07-10,35,34
2016-07-17,33,36
2016-07-24,33,33
2016-07-31,33,35
2016-08-07,32,33
2016-08-14,28,31
2016-08-21,29,33
2016-08-28,30,33
2016-09-04,29,30
2016-09-11,30,32
2016-09-18,31,31
2016-09-25,28,35
2016-10-02,30,34
2016-10-09,29,33
2016-10-16,31,37
2016-10-23,33,48
2016-10-30,33,39
2016-11-06,30,38
2016-11-13,33,42
2016-11-20,25,33
2016-11-27,33,40
2016-12-04,33,43
2016-12-11,31,40
2016-12-18,28,38
2016-12-25,22,29
2017-01-01,29,37
2017-01-08,34,44
2017-01-15,31,45
2017-01-22,33,46
2017-01-29,34,46
2017-02-05,35,48
2017-02-12,36,50
2017-02-19,33,49
2017-02-26,35,49
2017-03-05,34,50
2017-03-12,34,52
2017-03-19,35,51
2017-03-26,34,52
2017-04-02,33,51
2017-04-09,32,53
2017-04-16,34,57
2017-04-23,35,55
2017-04-30,34,55
2017-05-07,34,57
2017-05-14,32,56
2017-05-21,35,55
2017-05-28,30,52
2017-06-04,34,63
2017-06-11,34,62
2017-06-18,36,63
2017-06-25,33,59
2017-07-02,27,54
2017-07-09,32,64
2017-07-16,33,65
2017-07-23,34,64
2017-07-30,34,64
2017-08-06,32,65
2017-08-13,32,62
2017-08-20,29,58
2017-08-27,29,55
2017-09-03,28,50
2017-09-10,29,56
2017-09-17,29,57
2017-09-24,30,62
2017-10-01,28,60
2017-10-08,28,62
2017-10-15,28,59
2017-10-22,30,60
2017-10-29,28,61
2017-11-05,29,64
2017-11-12,27,58
2017-11-19,22,45
2017-11-26,28,56
2017-12-03,27,58
2017-12-10,27,55
2017-12-17,24,53
2017-12-24,17,37
2017-12-31,23,48
2018-01-07,25,60
